COMPANY,ENTRY,AREA,CATOGORY,CODE,PLACE,TOP 20
Savon d'etre SRL,Spice Dealer BBQ sauce,EURO,"
BBQ Chili Sauce",B593,GOLD (winner),
Marie Sharp's,Exotic BBQ,EURO,BBQ Chili Sauce,B543,GOLD,
Fireland Foods,Smokanero BBQ Sauce,EURO,BBQ Chili Sauce,B383,SILVER,
TOM'S HOT STUFF,Bonfire,EURO,BBQ Chili Sauce,B822,SILVER,
Happy Hatter,Smoked,EURO,BBQ Chili Sauce,B694,SILVER,
Marie Sharp's,Smoked BBQ,EURO,BBQ Chili Sauce,B544,SILVER,
Dziki Bill sp. z o.o.,Dziki Bill Jabali,EURO,BBQ Chili Sauce,B656,SILVER,
Guerilla Pepper,La Barbacoa Bomba ,EURO,BBQ Chili Sauce,B613,SILVER,
Eckart Saucen,STEAKSAUCE,EURO,BBQ Chili Sauce,B745,SILVER,
Burnin Benzes Chilimanufaktur,BBQ Berry Bomb,EURO,BBQ Chili Sauce,B431,BRONZE,
Dr Ged's Hot Sauce,Holy Smokes,EURO,BBQ Chili Sauce,B318,BRONZE,
Lloyd & Melon,Korean BBQ,EURO,BBQ Chili Sauce,B443,BRONZE,
Piri-Piri & Co,Asinhas Infernais,EURO,BBQ Chili Sauce,B706,BRONZE,
TOM'S HOT STUFF GmbH,BRENNSTOFF Currylicious,EURO,BBQ Chili Sauce,B819,BRONZE,
CHILI NAPOJ,Solzne Oči - Teary Eyes,EURO,BBQ Chili Sauce,B373,BRONZE,
MV Chili-Manufaktur GmbH,Pedacola BBQ,EURO,BBQ Chili Sauce,B644,BRONZE,
Stewe Pepper's,Smokey Stewe,EURO,BBQ Chili Sauce,B900,BRONZE,
Don Cabron,Salsa Tatemada,EURO,BBQ Chili Sauce,B683,BRONZE,
,,,,,,
,,,,,,
Filfla Chilli Co.,Filfli - A sun-dried tomato chilli chutney,EURO,Chili Chutney,C388,GOLD (winner),Rank 12
Marie Sharp's,Green Mango Chutney,EURO,Chili Chutney,C541,SILVER,
Haja Sauces,Pink Hot Dragon,EURO,Chili Chutney,C687,SILVER,
The Sauce Man,Piña Picante ,EURO,Chili Chutney,C663,BRONZE,
,,,,,,
,,,,,,
Skånsk Chili,Black Garlic Hot Honey,EURO,Chili Honey,R691,GOLD (winner),Rank 18
Skånsk Chili,Black Garlic Extra Hot Honey,EURO,Chili Honey,R692,SILVER,
CATFIRE Hot Sauce,HOT NO-HONEY,EURO,Chili Honey,R481,SILVER,
Not That Spicy,Death Honey,EURO,Chili Honey,R870,BRONZE,
Not That Spicy,Honey I'm Hot,EURO,Chili Honey,R860,BRONZE,
Not That Spicy,Volcanic Honey,EURO,Chili Honey,R867,BRONZE,
,,,,,,
,,,,,,
NACHTGARTEN OG,Heidelbeer-Chili Fruchtaufstrich,EURO,Chili Jam,J784,GOLD (winner),
Doctor Salsas,mermelada de jalapeño con hierbabuena,EURO,Chili Jam,J794,SILVER,
Blackfire Food,Jalapenero Jam,EURO,Chili Jam,J512,SILVER,
NACHTGARTEN OG,BirneChili Fruchtaufstrich,EURO,Chili Jam,J785,SILVER,
Chilli Hills Foods Ltd,Habanero Chilli Jam,EURO,Chili Jam,J555,BRONZE,
Chili Kjell,Plumbed Up Jam,EURO,Chili Jam,J306,BRONZE,
,,,,,,
,,,,,,
Blackfire Food,Ghost pepper & Black Lime Ketchup,EURO,Chili Ketchup,K511,GOLD (winner),
Fireland Foods GmbH,Ketchup Jalapeno,EURO,Chili Ketchup,K385,SILVER,
Będzie Piekło Beata Zwolska,Rokita,EURO,Chili Ketchup,K565,BRONZE,
Burnin Benzes Chilimanufaktur,Currywurst Soße No.1 ,EURO,Chili Ketchup,K432,BRONZE,
Chilli Pete,Chilli Ketchup,EURO,Chili Ketchup,K401,BRONZE,
Pandemonic,Lava Ketchup,EURO,Chili Ketchup,K845,BRONZE,
,,,,,,
,,,,,,
Teig & Füllung,Crispy Chili Öl ,EURO,Chili Oil,T805,GOLD (winner),Rank 4
Fruitslagers,Tempeh Chilli Oil,EURO,Chili Oil,T464,GOLD,
Piri-Piri & Co,Dr.Labareda (Dr.Flame),EURO,Chili Oil,T697,GOLD,
Trouble and Spice B.V.,Citir Biber,EURO,Chili Oil,T658,SILVER,
Don Cabron,Salsa de Chile Morita y Semillas,EURO,Chili Oil,T682,SILVER,
Kaunas spice UAB,Kaunas Spice Chilli oil,EURO,Chili Oil,T445,SILVER,
Instant Upgrade,Crispy Chili Oil,EURO,Chili Oil,T467,SILVER,
Trouble and Spice B.V.,Aruba Chili Crisp,EURO,Chili Oil,T660,SILVER,
Chilli wine d.o.o.,CAROLINA REAPER OLIVE OIL,EURO,Chili Oil,T579,BRONZE,
Drizzle Food Services BV,Crunchy Classic,EURO,Chili Oil,T667,BRONZE,
Trouble and Spice B.V.,Yum Yum - Pizza chili crisp,EURO,Chili Oil,T661,BRONZE,
Drizzle Food Services BV,Nummy Nutty,EURO,Chili Oil,T669,BRONZE,
Chilli wine d.o.o.,CHILI OIL (čilijevo olje),EURO,Chili Oil,T578,BRONZE,
b-orto peppers,OLIO EXTRAVERGINE,EURO,Chili Oil,T418,BRONZE,
,,,,,,
,,,,,,
YAK THAI,Namprik Pao Sam Het,EURO,Chili Paste,P302,GOLD (winner),
YAK THAI,Namprik Pao Moo,EURO,Chili Paste,P301,SILVER,
Filfla Chilli Co.,Buwġi (Boowgee) ,EURO,Chili Paste,P390,BRONZE,
,,,,,,
,,,,,,
b-orto peppers,SWEET'N'SOUR,EURO,Chili Pickle,L420,GOLD (winner),
Instant Upgrade,Chili Pickle,EURO,Chili Pickle,L468,SILVER,
Pandemonic,Jalapeno Pickles,EURO,Chili Pickle,L843,BRONZE,
,,,,,,
,,,,,,
Malpais Hot Sauce,Dragon’s Breath,EURO,Extra Hot Chili Sauce,X499,GOLD (winner),Rank 1
Chili Kjell,FML,EURO,Extra Hot Chili Sauce,X315,GOLD,Rank 6
Chilisaus.be,The 2022 Edition - Chocolate Smoked,EURO,Extra Hot Chili Sauce,X837,GOLD,Rank 13
Chilisaus.be,The 2023 – Asian Mango,EURO,Extra Hot Chili Sauce,X847,GOLD,
Chili Kjell,The Ripper,EURO,Extra Hot Chili Sauce,X877,SILVER,
Fireland Foods GmbH,End of Sanity Hot-Sauce,EURO,Extra Hot Chili Sauce,X382,SILVER,
b-orto peppers,ANTICLERICALE,EURO,Extra Hot Chili Sauce,X417,SILVER,
Chili Kjell,Johnny Cash - Ring of Fire,EURO,Extra Hot Chili Sauce,X314,SILVER,
Burnin Benzes Chilimanufaktur,Adios Gringo,EURO,Extra Hot Chili Sauce,X430,SILVER,
Chilli Hills Foods Ltd,Carolina Reaper Rum & Peach,EURO,Extra Hot Chili Sauce,X554,SILVER,
Chili Kjell,The Reaper,EURO,Extra Hot Chili Sauce,X577,SILVER,
Stewe Pepper's,Dementhor,EURO,Extra Hot Chili Sauce,X901,SILVER,
CHILI NAPOJ,Delirij – Delirium,EURO,Extra Hot Chili Sauce,X374,BRONZE,
9000° Hot Sauce,Reaper Madness,EURO,Extra Hot Chili Sauce,X711,BRONZE,
JohnnyPep,Heat me,EURO,Extra Hot Chili Sauce,X337,BRONZE,
Papapeño Chili GbR,REAPERBAHN ,EURO,Extra Hot Chili Sauce,X749,BRONZE,
Chili Kjell,Scorpion Killer,EURO,Extra Hot Chili Sauce,X309,BRONZE,
TOM'S HOT STUFF GmbH,Afterglow,EURO,Extra Hot Chili Sauce,X825,BRONZE,
Fermented Island,Maltese Falcon,EURO,Extra Hot Chili Sauce,X880,BRONZE,
Zach’s pesto & chilli,Unlucky Thirteen ,EURO,Extra Hot Chili Sauce,X677,BRONZE,
Kaunas spice UAB,Kaunas Sauce Louisiana Reaper ,EURO,Extra Hot Chili Sauce,X449,BRONZE,
Chilisaus.be,Limited Edition – Hurtberry Srirachia,EURO,Extra Hot Chili Sauce,X848,BRONZE,
Malpais Hot Sauce,Dark Reaper ,EURO,Extra Hot Chili Sauce,X498,BRONZE,
Fireland Foods GmbH,Gaboon Hot-Sauce,EURO,Extra Hot Chili Sauce,X386,BRONZE,
Chili Bolaget,(Don't) Fear The Reaper,EURO,Extra Hot Chili Sauce,X348,BRONZE,
Akoba-Foods GmbH ,Trinidad Scorpion  Sauce ,EURO,Extra Hot Chili Sauce,X902,BRONZE,
,,,,,,
,,,,,,
Chilisaus.be,The Level 20 - Shit That’s Hot ,EURO,Extract Based Chili Sauce,E839,GOLD (winner),
Doctor Salsas,salsa al sur del infierno,EURO,Extract Based Chili Sauce,E791,SILVER,
Capsup,Deine Mutter Hot Sauce,EURO,Extract Based Chili Sauce,E329,SILVER,
Chilli Pete,Smugglers Revenge,EURO,Extract Based Chili Sauce,E408,BRONZE,
,,,,,,
,,,,,,
Zach’s pesto & chilli,Zach’s berries,EURO,Freestyle,F678,GOLD (winner),Rank 17
Trouble and Spice B.V.,Agave Chili Crisp,EURO,Freestyle,F659,GOLD,Rank 19
Zach’s pesto & chilli,Freeze dry Jakapeno in milk Chocolate ,EURO,Freestyle,F679,SILVER,
Dziki Bill sp. z o.o.,Dziki Bill Szwarcwald 2.0,EURO,Freestyle,F654,SILVER,
Kaunas spice UAB,Kaunas Spice Cowboy Candy,EURO,Freestyle,F450,SILVER,
TOM'S HOT STUFF GmbH,Bonfire,EURO,Freestyle,F823,SILVER,
CHILI NAPOJ,Bomb Freeze Dried,EURO,Freestyle,F851,SILVER,
Pickle & Peppers,Ashleek,EURO,Freestyle,F414,SILVER,
TOM'S HOT STUFF GmbH,BRENNSTOFF No. 98,EURO,Freestyle,F833,BRONZE,
Sranang Fassi,Flaming Hot Tropical Sauce,EURO,Freestyle,F600,BRONZE,
TOM'S HOT STUFF GmbH,CHOW POW! ,EURO,Freestyle,F827,BRONZE,
NACHTGARTEN OG,Zwiebel Chili Pesto,EURO,Freestyle,F788,BRONZE,
Sranang Fassi,Flaming Hot Mayo Sauce,EURO,Freestyle,F602,BRONZE,
Filfla Chilli Co.,"Basli - A caramelised red-onion, stout beer and smoked chilli flake relish",EURO,Freestyle,F391,BRONZE,
Volim Ljuto d.o.o.,Vrabanero Honey Mustard,EURO,Freestyle,F559,BRONZE,
TOM'S HOT STUFF GmbH,CHOW WOW! - Hot Sauce,EURO,Freestyle,F816,BRONZE,
Pandemonic,BS Mustard,EURO,Freestyle,F841,BRONZE,
Chilliphoria,Truffle Atack,EURO,Freestyle,F618,BRONZE,
,,,,,,
,,,,,,
Dziki Bill sp. z o.o.,Dziki Bill Panda,EURO,Garlic Chili Sauce,G655,GOLD (winner),
Milky Paws LTD,Sriracha Caramel Sauce,EURO,Garlic Chili Sauce,G502,SILVER,
MV Chili-Manufaktur GmbH,Black Garlic (Schwarzer Knoblauch),EURO,Garlic Chili Sauce,G651,SILVER,
Pippis Pepper,Šoafer Knofl,EURO,Garlic Chili Sauce,G716,BRONZE,
Yuuniwa Kenko Brands GmbH,Hot Chili Sauce,EURO,Garlic Chili Sauce,G492,BRONZE,
Stewe Pepper's,Polar Bear,EURO,Garlic Chili Sauce,G905,BRONZE,
,,,,,,
,,,,,,
Lloyd & Melon,Habanero & Mango,EURO,Hot Chili Sauce,H441,GOLD (winner),Rank 9
Crazy Bastard Sauce,Berlin Brennt - Hot Curry Sauce,EURO,Hot Chili Sauce,H846,GOLD,Rank 14
Olfs Spize Foods GmbH,Oriental Orange,EURO,Hot Chili Sauce,H807,GOLD,Rank 16
CATFIRE Hot Sauce,THIS WILL DESTROY YOU,EURO,Hot Chili Sauce,H480,GOLD,
chiliguerilla.com,November Pain,EURO,Hot Chili Sauce,H720,GOLD,
Pippis Pepper,Original Nr.4,EURO,Hot Chili Sauce,H714,SILVER,
Westlandpeppers,Ti Dodo Spice,EURO,Hot Chili Sauce,H460,SILVER,
CRAZY LIZARD,GRAND RESERVE,EURO,Hot Chili Sauce,H478,SILVER,
Marie Sharp's,Belizean Heat,EURO,Hot Chili Sauce,H534,SILVER,
420 Chili Company,Smoked Hot Sauce,EURO,Hot Chili Sauce,H357,SILVER,
Piri-Piri & Co,Pica,EURO,Hot Chili Sauce,H704,SILVER,
MV Chili-Manufaktur GmbH,Granitbeißer (Granite biter),EURO,Hot Chili Sauce,H652,SILVER,
Growing Karma GmbH,Tingling Tiger,EURO,Hot Chili Sauce,H739,SILVER,
MV Chili-Manufaktur GmbH,Trinidad Scorpion,EURO,Hot Chili Sauce,H643,SILVER,
Chilli wine d.o.o.,CAROLINA REAPER,EURO,Hot Chili Sauce,H576,SILVER,
Happy Hatter,Pickle Pumpkin Pirate,EURO,Hot Chili Sauce,H695,SILVER,
Franky´s Best,CAROLINA REAPER,EURO,Hot Chili Sauce,H752,SILVER,
Kamenica Reaper,Kamenica Reaper - Barrel No.5,EURO,Hot Chili Sauce,H505,SILVER,
NACHTGARTEN OG,Die Apokalypse,EURO,Hot Chili Sauce,H783,SILVER,
Chilisaus.be,The 2024 Edition - Coconut Curry ,EURO,Hot Chili Sauce,H838,SILVER,
T-Rex ,Nectar of Fire,EURO,Hot Chili Sauce,H736,SILVER,
Capsup,Scharfe Melone Hot Sauce,EURO,Hot Chili Sauce,H332,SILVER,
MV Chili-Manufaktur GmbH,Whiskey,EURO,Hot Chili Sauce,H850,SILVER,
TOM'S HOT STUFF GmbH,TOM'S HOT SAUCE – Original,EURO,Hot Chili Sauce,H821,SILVER,
JohnnyPep,Spell Fire,EURO,Hot Chili Sauce,H335,SILVER,
Chilliphoria,Blue Dream,EURO,Hot Chili Sauce,H623,BRONZE,
Gmias Hias ,Die scharfe Tirolerin,EURO,Hot Chili Sauce,H320,BRONZE,
420 Chili Company,Jack & Coke Hot Sauce,EURO,Hot Chili Sauce,H356,BRONZE,
Doctor Salsas,Salsa Moruga Madness,EURO,Hot Chili Sauce,H799,BRONZE,
Malpais Hot Sauce,Orange Habanero ,EURO,Hot Chili Sauce,H497,BRONZE,
Kamenica Reaper,Kamenica Reaper – Spion,EURO,Hot Chili Sauce,H509,BRONZE,
TOM'S HOT STUFF GmbH,Afterglow,EURO,Hot Chili Sauce,H824,BRONZE,
Salsas Chillangas,Salsa Chilanga 6 Habanero Chili,EURO,Hot Chili Sauce,H426,BRONZE,
Wilde Hilde,Dicke Lippe,EURO,Hot Chili Sauce,H606,BRONZE,
Volim Ljuto d.o.o.,Kulen The Gang,EURO,Hot Chili Sauce,H561,BRONZE,
Neck Dart,Magma Maracuja,EURO,Hot Chili Sauce,H856,BRONZE,
Skånsk Chili,Mango Habanero Hot Sauce,EURO,Hot Chili Sauce,H690,BRONZE,
OPG Hey Chilli,Habanero San,EURO,Hot Chili Sauce,H674,BRONZE,
Chili Bolaget,Habanero,EURO,Hot Chili Sauce,H347,BRONZE,
Salsas Chillangas,Salsa Chilanga 7 Dried aabanero Chili with sesame,EURO,Hot Chili Sauce,H427,BRONZE,
Marie Sharp's,Beware ,EURO,Hot Chili Sauce,H536,BRONZE,
Sambal Baksi,Amsterdamned Reaper,EURO,Hot Chili Sauce,H395,BRONZE,
9000° Hot Sauce,Cranberry Ghost,EURO,Hot Chili Sauce,H712,BRONZE,
Not That Spicy,Kaisers Kick,EURO,Hot Chili Sauce,H883,BRONZE,
Plot34Achillis,The Drunken Bee,EURO,Hot Chili Sauce,H457,BRONZE,
SimGro´s Chili,SimGro´s Smoked Habanero – Sauce,EURO,Hot Chili Sauce,H436,BRONZE,
POT UNO'S,ASSBUSTER,EURO,Hot Chili Sauce,H323,BRONZE,
Marie Sharp's,Fiery Hot,EURO,Hot Chili Sauce,H535,BRONZE,
Chilli Pete,Extra Hot Tomasco,EURO,Hot Chili Sauce,H402,BRONZE,
,,,,,,
,,,,,,
Not That Spicy,Hot Maple,EURO,Maple Syrup,Z868,GOLD (winner),
,,,,,,
,,,,,,
Olfs Spize Foods GmbH,Sweet Yellow,EURO,Medium Chili Sauce,M813,GOLD (winner),Rank 2
Chilli wine d.o.o.,GHOST TRUFFLE,EURO,Medium Chili Sauce,M584,GOLD,Rank 3
Marie Sharp's,Hot Habanero,EURO,Medium Chili Sauce,M532,GOLD,Rank 7
Doctor Salsas,Salsa de mostaza y habanero,EURO,Medium Chili Sauce,M797,GOLD,Rank 20
Crazy Bastard Sauce,Habanero & Tomatillo,EURO,Medium Chili Sauce,M362,GOLD,
Not That Spicy,Tropical Tease,EURO,Medium Chili Sauce,M863,SILVER,
Kaunas spice UAB,Habanero & Peach,EURO,Medium Chili Sauce,M452,SILVER,
Haja Sauces,Tropical Chai,EURO,Medium Chili Sauce,M686,SILVER,
Lefever,Jaxl,EURO,Medium Chili Sauce,M589,SILVER,
420 Chili Company,Cosmic Comedy Berlin,EURO,Medium Chili Sauce,M354,SILVER,
Neck Dart,Tropical Habanero,EURO,Medium Chili Sauce,M855,SILVER,
Capsup,Chilisauce mit geräuchertem Knoblauch,EURO,Medium Chili Sauce,M328,SILVER,
Yuuniwa Kenko Brands GmbH,Hot Chili Crunch,EURO,Medium Chili Sauce,M490,SILVER,
Chiliwerk.de,Lemon Habanero,EURO,Medium Chili Sauce,M768,SILVER,
Piris,Piri Sauce,EURO,Medium Chili Sauce,M365,SILVER,
Chili Kjell,Peach Habanero ,EURO,Medium Chili Sauce,M311,BRONZE,
Not That Spicy,King's Burn,EURO,Medium Chili Sauce,M862,BRONZE,
chiliguerilla.com,Scotch Bonnet Roasted,EURO,Medium Chili Sauce,M723,BRONZE,
Wilde Hilde,Tutti Frutti,EURO,Medium Chili Sauce,M607,BRONZE,
Marie Sharp's,Pure Love,EURO,Medium Chili Sauce,M533,BRONZE,
Doctor Salsas,salsa sweet scorpion,EURO,Medium Chili Sauce,M798,BRONZE,
Milky Paws LTD,Chimac Korean Hot Sauce,EURO,Medium Chili Sauce,M501,BRONZE,
9000° Hot Sauce,Habanero Hustle,EURO,Medium Chili Sauce,M709,BRONZE,
Marie Sharp's,Cactus Habanero,EURO,Medium Chili Sauce,M542,BRONZE,
Pippis Pepper,Original 3,EURO,Medium Chili Sauce,M715,BRONZE,
420 Chili Company,Big Yin Hot Sauce,EURO,Medium Chili Sauce,M353,BRONZE,
Pandemonic,Late Summer Sauce,EURO,Medium Chili Sauce,M844,BRONZE,
Doctor Salsas,Salsa Sriracha de Agave,EURO,Medium Chili Sauce,M796,BRONZE,
Kaunas spice UAB,Kaunas Sauce Habanero & Carrot ,EURO,Medium Chili Sauce,M453,BRONZE,
chiliguerilla.com,Solar Flare,EURO,Medium Chili Sauce,M724,BRONZE,
CRAZY LIZARD,CARIBBEAN MANGO HABANERO,EURO,Medium Chili Sauce,M477,BRONZE,
Pickle & Peppers,Harbista Solange,EURO,Medium Chili Sauce,M413,BRONZE,
Salsas Chillangas,Salsa Chilanga 4 Dried Bird's Eye Chili,EURO,Medium Chili Sauce,M424,BRONZE,
Joe`s Chili Pepper Manufactory,caribbean night,EURO,Medium Chili Sauce,M742,BRONZE,
Chili Kjell,Caribbean Sunshine ,EURO,Medium Chili Sauce,M312,BRONZE,
TOM'S HOT STUFF GmbH,TOM'S HOT SAUCE – Original,EURO,Medium Chili Sauce,M820,BRONZE,
TOM'S HOT STUFF GmbH,CHOW POW! ,EURO,Medium Chili Sauce,M826,BRONZE,
Salsas Chillangas,Salsa Chilanga 5 Dried chili morita with almonds,EURO,Medium Chili Sauce,M425,BRONZE,
Growing Karma GmbH,Intense Italian,EURO,Medium Chili Sauce,M738,BRONZE,
Sambal Baksi,Brand in Mokum,EURO,Medium Chili Sauce,M394,BRONZE,
Fermented Island,NYC Pickle ,EURO,Medium Chili Sauce,M878,BRONZE,
Hedfield's Hot Sauce,Jalapeno & Bier Chilisauce,EURO,Medium Chili Sauce,M780,BRONZE,
Genusskoarl GmbH,SchoarfeWürze,EURO,Medium Chili Sauce,M488,BRONZE,
SimGro´s Chili,"SimGro´s Caribbean ""soft touch"" - Sauce ",EURO,Medium Chili Sauce,M437,BRONZE,
Stewe Pepper's,Lady Craft,EURO,Medium Chili Sauce,M904,BRONZE,
Crazy Bastard Sauce,7 Pot Tropical,EURO,Medium Chili Sauce,M361,BRONZE,
,,,,,,
,,,,,,
Marie Sharp's,Mango Habanero,EURO,Mild Chili Sauce,D537,GOLD (winner),Rank 10
TOM'S HOT STUFF GmbH,Nur a bissi schaf,EURO,Mild Chili Sauce,D828,GOLD,
Not That Spicy,Princess' Passion,EURO,Mild Chili Sauce,D859,SILVER,
Chilli wine d.o.o.,DESERT SMOKE,EURO,Mild Chili Sauce,D580,SILVER,
