COMPANY,CONTACT NAME,EMAIL,WEBSITE OR SOCIAL MEDIA LINK,COUNTRY,COMPANY DESCRIPTION OR MOTTO,LINK TO COMPANY LOGO IMAGE,AREA,CATOGORY,CODE,AWARD,AWARD RANK,ENTRY,SHORT DESCRIPTION,FLAVOR PROFILE,CHILLI TYPES,PAIRINGS,BOTTLE SIZE,RETAIL PRICE,DIRECT PRODUCT LINK,LINK TO PRODUCT IMAGE
420 Chili Company,,info@the420chillicompany.com,the420chillicompany.com,Germany,Fine artisan chilli products.,https://the420chillicompany.com/wp-content/uploads/2018/09/cropped-420-Banner.png,EURO,Medium Chili Sauce,M354,SILVER,3,Cosmic Comedy Berlin,"A joint venture with Cosmic Comedy Berlin, this sauce combines signature Big Sun habaneros with mandarin and roasted black garlic for a one-of-a-kind flavor"," Fruity (mandarin), savory (fermented black garlic), sweet (honey), with a distinct Habanero heat", Big Sun Habanero," Tacos, grilled chicken, fish, roasted vegetables.", 250 ml.,€13.50,https://the420chillicompany.com/shop/hot-sauces/cosmic-comedy-hot-sauce/.,https://the420chillicompany.com/wp-content/uploads/2021/04/Cosmic-Comedy-Hot-Sauce-Label-scaled.jpg
420 Chili Company,,info@the420chillicompany.com,the420chillicompany.com,Germany,Fine artisan chilli products.,https://the420chillicompany.com/wp-content/uploads/2018/09/cropped-420-Banner.png,EURO,Hot Chili Sauce,H357,SILVER,3,Smoked Hot Sauce,"A very hot (10/10) sauce featuring Chipotle Morita chilli, a smoked jalapeño from Northern Mexico. It adds heat and a rich, dark, smoky flavor to any dish","Intensely smoky, rich, dark, with complex fruity undertones from mango and raspberry","Chipotle Morita, other ""Chillies""","Cooking, dipping, chili con carne, BBQ, stews", 251 ml.,€13.00,https://chilipunk.com/product/hot-sauce-420-chili-company-smoked-hot-sauce-heat-level-10/,https://chilipunk.com/wp-content/uploads/2021/03/420-Chili-Company-Smoked-Hot-Sauce-scaled.jpg
b-orto peppers,Filippo Bortolon & Sara,hot@b-orto.it,b-orto.it,Italy,"An agricultural company specializing in the selection, production, and processing of chili peppers from all over the world. ""Be Brave! Eat Hot!""",,EURO,Chili Pickle,L420,GOLD (winner),1,SWEET & SOUR,"Sweet and sour pickled peppers, a seasonal product available from October to November.","Sweet and sour (""agrodolce""). Fruity with many different nuances. ","Capsicum baccatum, Barra do Ribeiro, Aji Amarillo, Aji Norteno)","Delicate appetizer, in a crispy salad (especially with radicchio), with a hamburger, or as an appetizer.",,€9.00,https://b-orto.it/product/25712464/l-agrodolce,
b-orto peppers,Filippo Bortolon & Sara,hot@b-orto.it,b-orto.it,Italy,"An agricultural company specializing in the selection, production, and processing of chili peppers from all over the world. ""Be Brave! Eat Hot!""",,EURO,Extra Hot Chili Sauce,X417,SILVER,3,ANTICLERICALE,"A super-hot, Tabasco-style fermented sauce with a humorous, anti-establishment branding. Packaged in a UV-blocking purple bottle","Fermented chili-forward, acidic, and intensely hot.",peperoncino,"Meats, vegetables, winter soups",,€15.00,https://b-orto.it/product/32952876/salsa-fermentata-anticlericale,https://s3.eu-central-1.amazonaws.com/media.brth.app/items/22911657/32952876.jpg?r=1725977935
Będzie Piekło Beata Zwolska,,sklep@bedziepieklo.pl,bedziepieklo.pl,Poland,,,EURO,Chili Ketchup,K565,BRONZE,4,Rokita,A sauce used in the preparation of a spicy dried pork jerky.,,,Used with pork jerky.,,,,
Blackfire Food,Tim McCarthy,tim@blackfirefood.com,blackfirefood.com,Northern Ireland,An artisan food company specialising in the creation of spicy condiments.,https://blackfirefood.com/wp-content/uploads/2024/01/Blackfire-Food-Logo-2024-white.svg,EURO,Chili Ketchup,K511,GOLD (winner),1,Ghost pepper & Black Lime Ketchup,"A dark, rich ketchup that marries the fiery heat of ghost peppers with the tangy depth of black limes, creating a uniquely savoury condiment with deep umami undertones.","Deep, complex burn with layers of smokiness, sweetness, and an electrifying finish. Tangy, savory, umami.",Ghost Pepper,Drizzled over stir fries or dirty fries.,,£5.50,https://blackfirefood.com/store/ketchup/ghost-pepper-black-lime-ketchup/,
Blackfire Food,Tim McCarthy,tim@blackfirefood.com,blackfirefood.com,Northern Ireland,An artisan food company specialising in the creation of spicy condiments.,https://blackfirefood.com/wp-content/uploads/2024/01/Blackfire-Food-Logo-2024-white.svg,EURO,Chili Jam,J512,SILVER,3,Jalapenero Jam,"A twice-awarded gourmet jam with a perfect blend of Jalapeño and fermented Habanero chillies, red peppers, and a hint of lemon.","A harmony of sweet, spicy, and umami; tangy heat from jalapeños with a bold, fruity punch from fermented habanero."," Jalapeño, Habanero (fermented)","Sourdough bread, glazes for grills, wraps, cheeseboards.",,£4.95,https://blackfirefood.com/store/jams/jalapeno-jam/,https://blackfirefood.com/wp-content/uploads/2024/04/Jam.jpg
Burnin Benzes Chilimanufaktur,,info@burnin-benze.de,https://www.burnin-benze.de/,Germany,"Far from industrial artificial flavors or inedible Scoville bolides , Benze's chili products are the swinging saloon door between the seductive scent of sweet fruits and the burning desire for extreme experiences.",,EURO,Extra Hot Chili Sauce,X430,SILVER,3,Adios Gringo,"An extremely hot sauce (10+++/10) made with Carolina Reaper chili, designed for true chili heads. It balances extreme heat with the fruity aroma of the peppers","The fruity aroma of Carolina Reaper chilies, balanced with sun-ripened tomatoes, fruity raspberry vinegar, and sweet maple syrup, plus notes of garlic, ginger, and coriander",Carolina Reaper,"Enjoyed pure by chili heads, or used to heat up goulash and chili con carne",150 ml,€8.90,https://www.honest-rare.de/en/burnin-benzes-adios-gringo-hot-sauce/,"https://www.honest-rare.de/cdn-cgi/image/fit=pad,width=1000,height=1000,background=ffffff/uploads/2022/01/burnin-benzes-adios-gringo-chili-sauce.jpg"
Burnin Benzes Chilimanufaktur,,info@burnin-benze.de,https://www.burnin-benze.de/,Germany,"Far from industrial artificial flavors or inedible Scoville bolides , Benze's chili products are the swinging saloon door between the seductive scent of sweet fruits and the burning desire for extreme experiences.",,EURO,BBQ Chili Sauce,B431,BRONZE,4,BBQ Berry Bomb,"Fruity, spicy BBQ pleasure made from raspberries & serrano chilies.",Fruity and spicy.,Serrano,"BBQ, glaze for ribs or pulled pork, burgers.",250 ml,€8.90,https://www.honest-rare.de/en/burnin-benzes-bbq-berry-bomb-chili-sauce/,https://www.honest-rare.de/cdn-cgi/image/fit=pad
Burnin Benzes Chilimanufaktur,,info@burnin-benze.de,https://www.burnin-benze.de/,Germany,"Far from industrial artificial flavors or inedible Scoville bolides , Benze's chili products are the swinging saloon door between the seductive scent of sweet fruits and the burning desire for extreme experiences.",,EURO,Chili Ketchup,K432,BRONZE,4,Currywurst Sauce No.1,A collaboration with Royal Spice. Fruity cherries and tomatoes with a slight spiciness from fresh chilies.,"Fruity, slight spiciness.",Fresh chilies,"BBQ, glazing, sausages, burgers, grilled meat, ribs.",265 ml,€6.90,https://www.honest-rare.de/en/burnin-benzes-curry-sausage-sauce-no1/,https://www.honest-rare.de/cdn-cgi/image/fit=pad
